PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
4MAuq,r3kn2/ppqb4/4p1p1/2b2pB1/3QpP2/2N1P3/PPP3PP/2KR3R w q - 1 18,d4c4 c5e3 c1b1 c7c4,697,86,98,3689,crushing discoveredAttack middlegame queensideAttack short,https://lichess.org/G4Wn3yeO#35,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
Mp2oj,8/6k1/ppK1N1p1/2b5/1p6/8/r7/5R2 b - - 3 47,g7h6 f1h1 a2h2 h1h2,623,87,96,3687,anastasiaMate endgame mate mateIn2 short,https://lichess.org/R4Ef4qnx/black#94,
u2HBX,3r4/pp1PP1k1/5q2/3p2p1/8/4Q3/PP5P/7K b - - 0 40,d8d7 e7e8n g7g6 e8f6,677,96,74,3675,advancedPawn crushing endgame fork promotion short underPromotion,https://lichess.org/Mur5hCPK/black#80,
PQsOZ,8/6p1/pk1n1p1p/1p1Np3/6PP/1r2PK2/5P2/2R5 b - - 13 46,b6a5 c1a1 b3a3 a1a3,669,93,94,3674,anastasiaMate endgame mate mateIn2 short,https://lichess.org/IJuV0UTF/black#92,
tTluB,4r2k/p1p3pp/2Qp1pb1/R7/PP3b2/5B1P/5KP1/4r3 b - - 4 36,g6e4 c6e8,615,101,97,3664,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/X5QICw8I/black#72,
trN15,r4rk1/p4ppp/2p5/2bp4/6b1/1P2P3/P4PPP/R1B1KB1R w KQ - 1 13,c1b2 c5b4 b2c3 b4c3,656,110,95,3645,bodenMate mate mateIn2 middlegame short,https://lichess.org/pmBGMjJm#25,Benoni_Defense Benoni_Defense_Other_variations
JBwmf,r4r1k/p3NppQ/2pP4/2q5/5R2/1PP1n3/1P4PP/R6K b - - 0 27,h8h7 f4h4 c5h5 h4h5,677,117,94,3614,anastasiaMate mate mateIn2 middlegame short,https://lichess.org/UjSSXjVl/black#54,
JkKe8,7r/3R1pk1/3p2p1/p5r1/2p2P2/P1P2n2/B1P4P/3R3K w - - 1 34,f4g5 h8h2,618,96,94,3606,arabianMate endgame mate mateIn1 oneMove,https://lichess.org/8BXUFEXs#67,
DStvD,1b5r/6k1/5pn1/P2B4/R2pP3/3Q3P/5PPq/2R2K2 w - - 6 37,d3d4 h2h1 f1e2 h1c1,684,92,97,3558,advantage middlegame short skewer,https://lichess.org/ySVSkiQb#73,
aMGn0,q4b1k/p3NppQ/8/1pppR3/6P1/2Pn1P1P/P5K1/8 b - - 0 34,h8h7 e5h5,605,99,91,3549,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/jY1x2Epo/black#68,
EKnxH,2r1k2r/ppq1bpp1/4pnp1/3p4/P2B4/1PP1P3/3N1PPP/R2Q1RK1 w k - 1 15,c3c4 c7h2,608,77,100,3506,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/lvxNIQLU#29,Queens_Pawn_Game Queens_Pawn_Game_London_System
y3QFN,3N4/7p/r2N4/2p1p1k1/4P3/p4P2/P5K1/8 b - - 0 53,a6d6 d8f7 g5f4 f7d6,672,86,98,3494,crushing endgame fork short,https://lichess.org/FlV2IkXj/black#106,
tZuX4,8/5p2/4p1p1/R2kP1Pp/7r/5P2/4K3/8 b - - 1 53,d5c4 a5a4 c4d5 a4h4,690,84,97,3475,crushing endgame rookEndgame short skewer,https://lichess.org/vgNhi1BU/black#106,
SiblN,r4rk1/p4ppp/2p1p2B/3q3P/1b1pN1P1/3P4/PP6/R2Q1RK1 b - - 0 19,g7h6 e4f6 g8g7 f6d5,694,95,97,3447,crushing fork middlegame short,https://lichess.org/mCbXsBMC/black#38,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
sEYpq,R7/8/p3Nppk/7p/1p6/r7/6PP/6K1 b - - 5 39,a6a5 a8h8,658,97,90,3445,anastasiaMate endgame master mate mateIn1 oneMove,https://lichess.org/RxWhCafn/black#78,
SaBQB,r2q1rk1/1pp2ppp/p2b1n2/4Q1N1/2B3b1/2N5/PPP2PPP/R1B2RK1 w - - 1 14,e5d4 d6h2 g1h2 d8d4,679,108,96,3437,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/UbWO95yK#27,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit
0FyKe,r1bq4/p2n2k1/1ppNprpp/8/3P4/P3P3/1PB2QPP/R4RK1 w - - 0 24,f2h4 f6f1 a1f1 d8h4,657,90,97,3435,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/DW0HNXnW#47,
5MZiY,1rr5/5p1k/6pp/p1R5/3Q4/8/5PPP/6K1 w - - 1 38,c5c8 b8b1 c8c1 b1c1 d4d1 c1d1,675,107,93,3393,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/vDP9BSMN#75,
qO6Ha,8/8/8/8/4p2p/3b3k/6NP/6K1 b - - 1 43,d3e2 g2f4 h3g4 f4e2,692,87,98,3393,crushing endgame fork master short,https://lichess.org/09oAgQ7N/black#86,
ZX4tU,2r3k1/p5pp/8/5N2/1p2p3/2B1P3/PPK2PPP/8 b - - 0 25,b4c3 f5e7 g8f8 e7c8,615,95,97,3388,crushing endgame fork short,https://lichess.org/lmSojxCe/black#50,
VGyaS,8/p5kp/4N1p1/4pp2/P1R5/1P3PK1/2Pr2PP/6r1 b - - 5 30,g7h6 c4h4,617,95,94,3386,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/NJ8RO4tI/black#60,
